id,name,gender,dob,email,city,address,postcode,phone_number,uni,degree,invited_date,invited_by
328,Jacky Bickerdyke,Male,1992-09-30,jbickerdyke93@mysql.com,Denton,085 Redwing Drive,M34,05717760680,University of Manchester,02:01,null,null
329,Jena Attard,Female,1999-11-14,jattard94@chicagotribune.com,Belfast,21 Redwing Point,BT2,07057290752,University of Central Lancashire,02:01,2019-01-08,Rupert Ripple
330,Kylynn Jewes,Female,1994-09-04,kjewes95@netvibes.com,Milton,913 John Wall Drive,AB56,7219,"Institute of Advanced Legal Studies, University of London",02:02,2019-01-17,Gismo Tilling
331,Daryle Janoch,Male,1991-09-11,djanoch96@tumblr.com,Linton,2842 Cascade Avenue,BD23,05159380396,Canterbury Christ Church University,02:02,2019-01-31,Stacey Broad
332,Ivory Linnemann,Female,1996-12-29,ilinnemann97@360.cn,Sutton,87609 Petterle Court,CT15,07366691275,Staffordshire University,02:02,2019-01-22,Bruno Bellbrook
333,Loy Mulvy,Male,1999-07-11,lmulvy98@prnewswire.com,Newton,58549 Armistice Pass,NG34,08481812616,University of Aberdeen,02:02,2019-01-30,Bruno Bellbrook
334,Irvine Lawrey,Male,1998-11-10,ilawrey99@springer.com,Sutton,523 Bunting Road,RH5,4856,University of Chester,02:01,2019-01-30,Stacey Broad
335,Marlon Tomala,Male,1998-08-29,mtomala9a@godaddy.com,Burnside,6956 Michigan Junction,EH52,06724222315,"Saint George's Hospital Medical School, University of London",02:01,2019-01-24,Sunny Sladefield
336,Kincaid Osipov,Male,1990-03-25,kosipov9b@ebay.co.uk,Newton,07 Elgar Way,NG34,03222306213,University of Bath,02:01,2019-01-02,Rupert Ripple
337,Olin Gariff,Male,1999-04-26,ogariff9c@narod.ru,London,024 Cottonwood Center,SW1E,08952910988,University of Wolverhampton,02:01,2019-01-24,Gismo Tilling
338,Layla Dymott,Female,2000-07-11,ldymott9d@sphinn.com,Birmingham,6 Marcy Parkway,B40,02579658335,University of Leeds,02:01,null,null
339,Reggie Lawlor,Male,1992-03-23,rlawlor9e@about.com,Newbiggin,96437 Helena Pass,NE46,05911833560,Central Saint Martins College of Art & Design,02:02,2019-01-08,Bruno Bellbrook
340,Carlo Twining,Male,1993-02-28,ctwining9f@biglobe.ne.jp,Merton,3 Nova Alley,SW19,07353826312,"Courtauld Institute of Art, University of London",02:02,2019-01-30,Sunny Sladefield
341,Farley Nuccitelli,Male,1992-04-13,fnuccitelli9g@i2i.jp,Ford,57 Straubel Center,GL54,07361610135,Chelsea College of Art and Design,1st,2019-01-22,Stacey Broad
342,Wendy Ducastel,Female,1997-12-19,wducastel9h@linkedin.com,Church End,4799 Corry Center,CB4,03581481074,"University of Wales Institute, Cardiff",02:02,2019-01-23,Bruno Bellbrook
343,Sherwin Guy,Male,1994-02-24,sguy9i@gizmodo.com,Upton,52070 Eagle Crest Crossing,WF9,10087,University of Lincoln,1st,2019-01-23,Gismo Tilling
344,Findley Mcandie,Male,1997-03-22,fmcandie9j@1688.com,East End,6 Pine View Hill,BH21,01446346314,Coventry University,02:01,2019-01-24,Fifi Etton
345,Harli Vidgeon,Female,2000-10-09,hvidgeon9k@icq.com,Pentre,4 Carberry Road,SY4,3306,"Heythrop College, University of London",02:01,null,null
346,Sal Curee,Male,1994-04-16,scuree9l@hhs.gov,Newtown,823 Warbler Trail,RG20,4087,Leeds Metropolitan University,1st,2019-01-09,Gismo Tilling
347,Alwyn Mackilpatrick,Male,1996-08-12,null,Newton,8 Laurel Pass,IV1,9086,University of Birmingham,02:01,null,null
348,Gayel Meineking,Female,1995-05-02,gmeineking9n@wordpress.org,Norton,15335 Sauthoff Terrace,S8,05052925898,University of Birmingham,02:02,2019-01-29,Gismo Tilling
349,Gerhard Mcgrath,Male,1995-11-20,gmcgrath9o@edublogs.org,Sutton,71941 Morningstar Point,CT15,null,University of Kent at Canterbury,02:01,2019-01-31,Gismo Tilling
350,Ced Danielut,Male,1999-03-17,cdanielut9p@omniture.com,Weston,6166 Mosinee Park,GU32,02345886614,University of York,02:01,2019-01-22,Doris Bellasis
351,Cory Greene,Female,2000-04-14,cgreene9q@gnu.org,Buckland,50118 Lindbergh Center,CT16,07575633895,SothebyÂ´s Institute of Art - London,02:02,2019-01-16,Bruno Bellbrook
352,Archaimbaud Buller,Male,1995-12-18,abuller9r@nba.com,Newton,545 Anderson Trail,NG34,4982,"University of Halifax, Birmingham Campus",02:02,2019-01-17,Sunny Sladefield
353,Wynn Silverman,Female,1992-04-19,wsilverman9s@ehow.com,East End,0853 American Ash Place,BH21,09709668863,"King's College London, University of London",3rd,2019-01-22,Gismo Tilling
354,Lilli Le Brom,Female,1996-11-22,lle9t@t-online.de,London,28 Jay Place,EC1V,7385,Open University,02:02,2019-01-10,Doris Bellasis
